,steel cut oatmeal,brown sugar,maple syrup,blueberries,banana,strawberries,dragon fruit,spinach,kale,paneer,nonfat milk,onion,tomatoes,canola oil,broccoli,cream,tomato puree,garlic,green chili peppers,chickpea flour,ghee,fenugreek,bulgur wheat,butternut squash,feta cheese,onion,olive oil,boullion,thyme
"Fiber, total dietary',",1.8,,0,2.9,1.7,2,1.8,2.4,1.8,0,0,1.7,1.2,,2,0,1.6,2.7,1,16.7,,24.6,32.5,2.4,0,1.7,0,0,
"Calcium, Ca',",35,,133,7,5,16,13,94,133,407,121,17,10,,41,61,0,181,8,107,,176,100,47,493,17,1,0,
"Fatty acids, total saturated',",0.88,0,0,0,0.112,0,0.052,0,0,17.86,0,0.042,0.028,7.14,0,20.4,0,0.089,0.062,0,57.14,1.46,0,0,13.3,0.042,15.5,0,
"Cholesterol',",4,,0,0,0,0,0,0,0,89,2,0,0,0,0,103,0,0,0,0,143,0,0,0,89,0,0,0,0
"Energy',",97,375,350,57,97,35,68,29,53,321,33,38,20,857,34,343,40,143,25,400,929,1352,200,47,1107,38,900,250,0
"Total lipid (fat)',",2.65,0,0,0.71,0.28,0.39,0.21,0,0.88,25,0,0.08,0.31,100,0.34,35.6,0,0.38,0.12,5,100,6.41,0,0,21.49,0.08,100,0,0
"Carbohydrate, by difference',",16.81,100,88.33,12.14,22.7,7.84,16.2,3.53,9.73,3.57,5,8.46,4.04,0,5.41,3.8,7.94,28.2,5.14,70,0,58.35,0.06,11.76,3.88,8.46,0,50,0
"Total Sugars',",4.42,100,88.33,8.57,15.8,4.71,12,0,0,3.57,5,5.8,2.63,,1.35,2.92,4.76,1,2.58,3.33,,,,2.35,0,5.8,0,0,0
"Vitamin A, RAE',",0,,,,1,,5,471,,,,0,32,,,327,,0,18,,,3,,,125,0,0,,
"Fatty acids, total trans',",0,0,0,0,,0,,0,0,0,0,,,0,0,,0,,,0,,0,,0,,,,0,
"Vitamin C, total ascorbic acid',",0,,0,,12,,19.8,28.2,122.1,,,8.2,16.3,,89.2,0.6,3.8,10,90.9,,,3,0,21.2,0,8.2,0,0,
"Iron, Fe',",0.96,,2.4,0.21,0,0.39,0.12,2.71,1.59,0,0,0.24,0.22,,0.73,0,1.71,1.7,0.2,6.67,,33.53,6.75,0.85,0.65,0.24,0.56,0,
"Sodium, Na',",44,0,17,0,0,0,1,76,44,18,42,1,4,0,54,21,24,17,0,0,0,67,38,0,1139,1,2,20000,0
"Protein',",3.54,0,0,0.71,0.74,0.78,0.68,2.35,3.54,25,3.33,0.86,0.82,0,2.7,2.02,1.59,6.62,0.77,16.67,0,23,20,1.18,14.21,0.86,0,0,0
"Sugars, added',",,100,,,,,,0,,,,,,,,,,,,0,,,,,,,,,
"Vitamin A, IU',",,,0,,,,,,15487,,2500,,,,203,,317,,,,2857,60,0,10588,422,,,0,
"Potassium, K',",,,,57,326,153,206,553,447,71,154,171,226,,,97,286,401,175,1220,,770,0,,62,171,1,,
"Vitamin D (D2 + D3), International Units',",,,,0,,0,,,,0,48,,,,,,,,,,,0,,,16,,,,
"Alcohol, ethyl',",,,,,0,,0,,,,,0,0,,,0,,0,0,,,,,,0,0,0,,
"Water',",,,,,75.6,,82.4,,,,,90.3,94.4,,,58.1,,63.1,93.7,,,8.84,,,55.22,90.3,0,,
"Caffeine',",,,,,0,,0,,,,,0,0,,,0,,0,0,,,,,,0,0,0,,
"Theobromine',",,,,,0,,0,,,,,0,0,,,0,,0,0,,,,,,0,0,0,,
"Magnesium, Mg',",,,,,28,,14,,35,,,9,10,,,6,,25,10,,,191,,,19,9,0,,
"Phosphorus, P',",,,,,22,,18,,53,,,33,23,,,57,,153,18,,,296,,,337,33,0,,
"Zinc, Zn',",,,,,0.16,,0.09,,,,,0.17,0.15,,,0.22,,1.16,0.14,,,2.5,,,2.88,0.17,0,,
"Copper, Cu',",,,,,0.101,,0.061,,0.265,,,0.041,0.051,,,0,,0.299,0.062,,,1.11,,,0.032,0.041,0,,
"Selenium, Se',",,,,,0,,0.2,,,,,0,0,,,3,,9.8,0,,,6.3,,,15,0,0,,
"Retinol',",,,,,0,,0,,,,,0,0,,,327,,0,0,,,0,,,125,0,0,,
"Carotene, beta',",,,,,8,,42,,9226,,,1,397,,,0,,5,212,,,,,,3,1,0,,
"Carotene, alpha',",,,,,7,,4,,,,,0,61,,,0,,0,21,,,,,,0,0,0,,
"Vitamin E (alpha-tocopherol)',",,,,,0.1,,0.18,,,,,0.02,0.58,,,0.92,,0.08,0.4,,,,,,0.18,0.02,20.9,,
"Vitamin D (D2 + D3)',",,,,,0,,0,0,,,,0,0,,,1.6,,0,0,0,,0,,,0.4,0,0,,
"Cryptoxanthin, beta',",,,,,0,,24,,,,,0,6,,,0,,0,7,,,,,,0,0,0,,
