Meal,Total Price,Serving Size (g),# Servings,Price,Energy,"Carbohydrate, by difference","Sodium, Na","Fiber, total dietary",Protein,"Calcium, Ca","Iron, Fe","Potassium, K"
Chicken Tikka Masala,4.79,241,1,4.79,360,39,580,1,21,120,6.125,0
Vegetable Spring Rolls,4.49,102,2.5,1.796,200,24,400,5,5,60,0.7,200
Roasted Garlic & Pesto Pizza with Deep Fried Crust,6.49,133,3,2.163333333,430,43,900,3,17,260,1.2,170
Butter Chicken with Basmati Rice,4.49,354,1,4.49,400,49,640,2,24,50,1.8,530
Mini Beef Tacos,6.49,84,5,1.298,230,27,330,3,8,60,1.5,180
Thai Vegetable Gyoza,4.99,85,5,0.998,160,25,300,2,3,30,0.4,100
Steel Cut Oatmeal,2.29,227,2,1.145,170,33,45,4,5,30,1.5,150
Chicken Spring Rolls,4.49,51,5,0.898,100,11,260,2,5,0,0,0
BBQ Teriyaki Chicken,6.49,150,4,1.6225,240,11,710,1,31,10,350,0
Beef Bulgogi,11.99,140,3,3.996666667,280,13,740,0,21,20,2.5,280
Wild Alaskan Black Cod,9.99,142,2,4.995,480,15,580,0,20,10,0,330
Chicken Adobo,4.29,289,1,4.29,270,35,500,1,14,60,1.2,270
Mini Chicken Tacos,5.99,84,5,1.198,260,28,270,0,11,30,1.2,250
Spaghetti with Meat & Sauce,4.49,379,1,4.49,490,57,990,3,27,120,4.4,540
3 cheese Spinach & Artichoke Pasta,3.79,340,1,3.79,500,56,1270,3,27,630,3,530
BBQ Chicken Pizza,5.99,123,3,1.996666667,290,35,800,2,14,170,1.3,30
Chicken Chile Verde Burritos,3.99,198,2,1.995,410,51,970,2,19,140,3.8,220
Crispy Potato & Poblano Tacos,4.99,55,6,0.8316666667,120,17,180,1,2,20,0.8,80
Chicken Mole,6.99,140,3,2.33,190,12,530,1,20,30,1.7,340
Terryaki Chicken Bowl,4.79,319,1,4.79,370,67,880,2,18,0,1.5,300
Mushroom Risotto,3.99,140,3,1.33,160,26,460,1,3,40,0.2,100
Gluten Free Cheese Pizza,5.99,164,2,2.995,390,44,750,2,17,390,0.9,330
Steamed Vegatable Soup Dumplings,3.49,170,1,3.49,230,36,620,2,4,30,1.5,130
Salsa Verde Chicken Enchiladas,4.99,234,2,2.495,320,30,710,5,24,230,1.3,410
Kimbap,3.99,77,3,1.33,140,23,320,1,4,50,0.5,70
Garlic Shiitake Green Beans,2.99,110,2.5,1.196,70,11,390,4,2,40,0.8,210
Chicken Shawarma Bowl,3.99,320,1,3.99,400,52,720,4,20,90,1.6,540
Grilled Chicken Strips,8.99,84,5,1.798,110,2,230,0,20,10,0.6,150
